tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
3,34,54,0.225,Mercat de Sant Antoni,Sant Antoni,Food
3,35,8,0.044444444444444446,Mercat de Santa Caterina,El Born,Food
3,36,39,0.24375,Mercat de la Concepcio,Sant Antoni,Food
3,37,113,0.2825,Mercat dels Encants,Poblenou,History
3,38,59,0.036875,Barceloneta Beach,La Barceloneta,Nature
3,39,7,0.007,Port Vell (Promenade),Barri Gotic,History
3,40,2,0.008333333333333333,Aquarium Barcelona,Barri Gotic,Nature
3,41,2,0.016666666666666666,Maritime Museum,Barri Gotic,History
3,42,19,0.095,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
3,43,4,0.04,El Born Cultural Center,El Born,History
3,44,32,0.26666666666666666,Parc de la Creueta del Coll,Horta-Guinardo,Nature
3,45,19,0.11875,Parc de l'Espanya Industrial,Sants,Nature
3,46,124,0.5166666666666667,Parc Central de Nou Barris,Nou Barris,Nature
3,47,81,0.50625,Parc del Turo de la Peira,Nou Barris,Nature
3,48,16,0.2,Torre Glories Viewpoint,Poblenou,Art
3,49,161,0.2683333333333333,Parc Diagonal Mar,Poblenou,Nature
3,50,189,0.23625,Forum Building / Forum Park,Poblenou,History
4,1,9,0.03,Sagrada Familia,Eixample,Religious
4,2,21,0.15,Parc Guell,Gracia,Nature
4,3,25,0.015625,La Rambla,Barri Gotic,History
4,4,23,0.14375,Santa Maria del Mar,El Born,Religious
4,5,1,0.0125,Casa Batllo,Eixample,Art
4,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
4,7,4,0.009319664492078286,Palau de la Musica Catalana,El Born,Art
4,8,0,0.0,Hospital de Sant Pau,Eixample,History
4,9,32,0.13333333333333333,Barcelona Cathedral,Barri Gotic,Religious
4,10,17,0.14166666666666666,Basilica de Santa Maria del Pi,Barri Gotic,Religious
4,11,33,0.66,Palau Guell,El Raval,Art
4,12,73,0.6083333333333333,MACBA Museum,El Raval,Art
4,13,66,0.66,CCCB Center,El Raval,Art
4,14,35,0.875,Sant Pau del Camp,El Raval,Religious
4,15,9,0.15,Church of Sant Josep Oriol,Barri Gotic,Religious
4,16,12,0.13333333333333333,Picasso Museum,El Born,Art
4,17,16,0.2,Fundacio Joan Miro,Montjuic,Art
4,18,35,0.0875,MNAC (Palau Nacional),Montjuic,Art
4,19,32,0.064,Barcelona Zoo,Ciutadella,Nature
4,20,84,0.084,Parc de la Ciutadella,Ciutadella,Nature
4,21,9,0.03,Castell de Montjuic,Montjuic,History
4,22,83,0.051875,Magic Fountain of Montjuic,Montjuic,History
4,23,23,0.032857142857142856,Poble Espanyol,Montjuic,History
4,24,71,0.006347673711690448,Estadi Olimpic Lluis Companys,Montjuic,History
4,25,5,0.07142857142857142,Montjuic Cable Car (Teleferic),Montjuic,Nature
4,26,47,0.29375,Laberint d'Horta,Horta-Guinardo,Nature
4,27,22,0.275,Bunkers del Carmel,Horta-Guinardo,Nature
4,28,92,0.38333333333333336,CosmoCaixa,Horta-Guinardo,Art
4,29,29,0.24166666666666667,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
4,30,14,0.28,Casa Vicens,Gracia,Art
4,31,181,0.009108843126597823,Camp Nou Stadium,Les Corts,History
4,32,2,0.0125,FC Barcelona Museum,Les Corts,History
4,33,252,0.504,Mercat de la Boqueria,El Raval,Food
4,34,55,0.22916666666666666,Mercat de Sant Antoni,Sant Antoni,Food
4,35,9,0.05,Mercat de Santa Caterina,El Born,Food
4,36,39,0.24375,Mercat de la Concepcio,Sant Antoni,Food
4,37,111,0.2775,Mercat dels Encants,Poblenou,History
4,38,75,0.046875,Barceloneta Beach,La Barceloneta,Nature
4,39,7,0.007,Port Vell (Promenade),Barri Gotic,History
4,40,8,0.03333333333333333,Aquarium Barcelona,Barri Gotic,Nature
4,41,4,0.03333333333333333,Maritime Museum,Barri Gotic,History
4,42,28,0.14,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
4,43,8,0.08,El Born Cultural Center,El Born,History
4,44,35,0.2916666666666667,Parc de la Creueta del Coll,Horta-Guinardo,Nature
4,45,19,0.11875,Parc de l'Espanya Industrial,Sants,Nature
4,46,127,0.5291666666666667,Parc Central de Nou Barris,Nou Barris,Nature
4,47,85,0.53125,Parc del Turo de la Peira,Nou Barris,Nature
4,48,25,0.3125,Torre Glories Viewpoint,Poblenou,Art
4,49,169,0.2816666666666667,Parc Diagonal Mar,Poblenou,Nature
4,50,194,0.2425,Forum Building / Forum Park,Poblenou,History
5,1,2,0.006666666666666667,Sagrada Familia,Eixample,Religious
5,2,16,0.11428571428571428,Parc Guell,Gracia,Nature
5,3,11,0.006875,La Rambla,Barri Gotic,History
5,4,6,0.0375,Santa Maria del Mar,El Born,Religious
5,5,0,0.0,Casa Batllo,Eixample,Art
5,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
5,7,0,0.0,Palau de la Musica Catalana,El Born,Art
5,8,0,0.0,Hospital de Sant Pau,Eixample,History
5,9,10,0.041666666666666664,Barcelona Cathedral,Barri Gotic,Religious
5,10,6,0.05,Basilica de Santa Maria del Pi,Barri Gotic,Religious
5,11,18,0.36,Palau Guell,El Raval,Art
5,12,28,0.23333333333333334,MACBA Museum,El Raval,Art
5,13,36,0.36,CCCB Center,El Raval,Art
5,14,22,0.55,Sant Pau del Camp,El Raval,Religious
5,15,2,0.03333333333333333,Church of Sant Josep Oriol,Barri Gotic,Religious
5,16,2,0.022222222222222223,Picasso Museum,El Born,Art
5,17,1,0.0125,Fundacio Joan Miro,Montjuic,Art
5,18,5,0.0125,MNAC (Palau Nacional),Montjuic,Art
5,19,16,0.032,Barcelona Zoo,Ciutadella,Nature
5,20,46,0.046,Parc de la Ciutadella,Ciutadella,Nature
5,21,4,0.013333333333333334,Castell de Montjuic,Montjuic,History
5,22,37,0.023125,Magic Fountain of Montjuic,Montjuic,History
5,23,7,0.01,Poble Espanyol,Montjuic,History
5,24,35,0.003129134928298108,Estadi Olimpic Lluis Companys,Montjuic,History
5,25,2,0.02857142857142857,Montjuic Cable Car (Teleferic),Montjuic,Nature
5,26,24,0.15,Laberint d'Horta,Horta-Guinardo,Nature
5,27,9,0.1125,Bunkers del Carmel,Horta-Guinardo,Nature
5,28,25,0.10416666666666667,CosmoCaixa,Horta-Guinardo,Art
5,29,11,0.09166666666666666,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
5,30,2,0.04,Casa Vicens,Gracia,Art
5,31,80,0.004026008011755944,Camp Nou Stadium,Les Corts,History
5,32,2,0.0125,FC Barcelona Museum,Les Corts,History
