tick,poi_id,visitors,crowd_ratio,name,neighborhood,category
2,29,0,0.0,Tibidabo Temple (Sagrat Cor),Horta-Guinardo,Religious
2,30,7,0.14,Casa Vicens,Gracia,Art
2,31,0,0.0,Camp Nou Stadium,Les Corts,History
2,32,1,0.00625,FC Barcelona Museum,Les Corts,History
2,33,53,0.106,Mercat de la Boqueria,El Raval,Food
2,34,61,0.25416666666666665,Mercat de Sant Antoni,Sant Antoni,Food
2,35,0,0.0,Mercat de Santa Caterina,El Born,Food
2,36,67,0.41875,Mercat de la Concepcio,Sant Antoni,Food
2,37,49,0.1225,Mercat dels Encants,Poblenou,History
2,38,23,0.014375,Barceloneta Beach,La Barceloneta,Nature
2,39,2,0.002,Port Vell (Promenade),Barri Gotic,History
2,40,3,0.0125,Aquarium Barcelona,Barri Gotic,Nature
2,41,5,0.041666666666666664,Maritime Museum,Barri Gotic,History
2,42,0,0.0,Basilica de la Mare de Deu de la Merce,Barri Gotic,Religious
2,43,0,0.0,El Born Cultural Center,El Born,History
2,44,0,0.0,Parc de la Creueta del Coll,Horta-Guinardo,Nature
2,45,3,0.01875,Parc de l'Espanya Industrial,Sants,Nature
2,46,29,0.12083333333333333,Parc Central de Nou Barris,Nou Barris,Nature
2,47,0,0.0,Parc del Turo de la Peira,Nou Barris,Nature
2,48,0,0.0,Torre Glories Viewpoint,Poblenou,Art
2,49,0,0.0,Parc Diagonal Mar,Poblenou,Nature
2,50,24,0.03,Forum Building / Forum Park,Poblenou,History
3,1,36,0.12,Sagrada Familia,Eixample,Religious
3,2,20,0.14285714285714285,Parc Guell,Gracia,Nature
3,3,298,0.18625,La Rambla,Barri Gotic,History
3,4,148,0.925,Santa Maria del Mar,El Born,Religious
3,5,55,0.6875,Casa Batllo,Eixample,Art
3,6,0,0.0,Casa Mila (La Pedrera),Eixample,Art
3,7,7,0.016309412861137,Palau de la Musica Catalana,El Born,Art
3,8,8,0.02666666666666667,Hospital de Sant Pau,Eixample,History
3,9,10,0.041666666666666664,Barcelona Cathedral,Barri Gotic,Religious
3,10,87,0.725,Basilica de Santa Maria del Pi,Barri Gotic,Religious
3,11,14,0.28,Palau Guell,El Raval,Art
3,12,1,0.008333333333333333,MACBA Museum,El Raval,Art
3,13,2,0.02,CCCB Center,El Raval,Art
3,14,0,0.0,Sant Pau del Camp,El Raval,Religious
3,15,0,0.0,Church of Sant Josep Oriol,Barri Gotic,Religious
3,16,155,1.7222222222222223,Picasso Museum,El Born,Art
3,17,0,0.0,Fundacio Joan Miro,Montjuic,Art
